Talon (Earth-3)
White Rabbit
Eve II
Firebug III
Lucia
Mad Dog
Soldado
Judith Benoir
Ubermensch II
Byakko
Rachel Berkowitz
Sakki
Bunny (The Elite)
Clifford Grimm
Fear
Grace Balin
Loathing
Shock Trauma
Sylvan Scofield
Al Bizarro
Isabelle Cheranova
Waterman
William Hayes
Scarlet Rose
Skull
Solution
Twelfth Knight
Deadfall I
Jugular
Know Man
Nathaniel
Phat-Boy
Sureshot
Alan Armstrong
Devlin
Shiv II
Spindoc
Technician
Veronica Dale
Bocor
Carlton Slater
Redzone
Rockface
Sidearm
Troll
Cassidy
Face
Razer
Roger Goldman
Tiffany Evans (Dakotaverse)
Calamari
Fel Andar
Knockwurst
Knowbuddy
Master Blaster
Sidewinder
Yatini
Agent !
Piscator
Bug-Eyed Bandit II
Grant Morrison
Gregor Dosynski
Morax
Tsunami II
Forager II
Jacob Finlay
La Bruja
Urzkartaga
Victor Gover
Incinderella
Lord Malvolio
Mind Games
Stasis
Strobe
Ashok Desai
Jaculi I
Vladimir Mikoyan
Richard Perignon
Amber II
Nebel
Antaeus
Argus (New Olympians)
Breathtaker I
Vulcanus
Coopersmith
Lysandra
Trident III
Ishtar
Kana (Earth-One)
Alvin Desmond
Professor Ojo
Radion
Jerzy Reganiewicz
Quetzalcoatl
Anthony Lupus
Aurakles
Silken Spider
Victor Bragg
Brane Taylor
James Slade
David Zavimbi
Inertia II
Jay Young
Jennifer Blitz
Mimic
Nina Mazursky
Tracey Graham
Alton Janus
Divine
Doll Face
Dust Devil
Hammer II
Jock
Mechanic
Mudslide
Nix
Oracle
Sac
Salt of the Earth
Wolf
Zadar
Brown Recluse
Fly Lord
Homunculus
Miss Army Knife
Phoney Baloney
Rumble III
Tanimin
Underhand
Victor Goodman
Adept
Brazen Man
Civet
Fairy Queen
Joshua Walker
Killer Shark II
Miss Poltergeist
Mister Meteor
Repro
Revenant
Bizarro Flash
Bizarro Wonder Woman
Blitzkrieg
Cheater
Jackanapes
Karsta Wor-Ul
Swastika
Chen Nuo
Goldilocks
Hu Wei
Krystal
Lady Liberty IV
Natas
Sister Shadow
Barnard Blaine
Blue of the Rainbow Raiders
Gas Bag
Green of the Rainbow Raiders
Indigo of the Rainbow Raiders
Orange of the Rainbow Raiders
Red of the Rainbow Raiders
Splitshot
Stanley Baumgarten
Violet of the Rainbow Raiders
Megalith
Alexander Petrov
Harlan Combs
Remnant
Xenon
Agrippina
Hallucinatra
Snake Girl
Pamela
Santa Klaus
Theta
Banner
Cimarron
Groundswell
Thrilldevil
Frederick Fleming
Sool
Thula
Knob
Quartzite
Redblade
Walter Chase
Baud
NKVDemon III
Fixit
Leona Dorsey
Marcia Hargis
Minerva
Nightfist
Pinky Butler
Actuary
Bounty
Kemper Von Cart
Russell Wolf
White Lotus
Wilde Norton
Adam Kroft
Bad Blood
Caliber
Chrysalis
Crassus
Jonathan Naissi
Mirror Master IV
Mohammed Ibn Bornu
Payback
Peacemaker II
Shellshock
Split
Harlequin III
Kieron Masterson
Kurt Stack
Dean Hunter
Jackal II
Metalhead
Misfit
Pathavim Seth-Ottarak
Toy
Bes
Plasmax
Simon Petrarch
Lurgo
Force
Amber
Zebra-Man II
Adolf Hitler Clone
Jonah
Nacht
Zyklon
Death Dealer
Incognito
Joel Cochin
Pinball Wizard (Earth-One)
Proteus
Stratos
Leroy Merkyn
Antonio Ramirez (Earth-One)
Sizematic
Ace of Spades I
Bananas
Good Looks
Krunch
Non-Fat
Lee Carver
Ding-Dong Daddy
Doctor Drew
Shaggy Man II
Frederick Storm
Albrecht Raines
Yellow Wasp
Peter Silverstone
Figment
Id
Korrigan
Lewis Bayard
Maggie Mxyzptlk
Miranda
Organ Grinder
Prince
Super-Chief II
Tiger Shark
Bizarro Martian Manhunter
Blind Fury
Brute IV
Captain Cornwall
Captain Moondust
Coffin Dweller
Dark Druid
Death Cap
Director
Distinguished Gentleman
Edward English
Faceoff
Fro
Mister Ibis
Pisces
Professional Scotsman
Rush Hour II
Settler I
Space Cadet
Spike II
Tangle
Tongs
Zero
Ace of Clubs III
Ace of Diamonds II
Ace of Hearts II
Agent Liberty II
Beaumont
Big Game
Boss Bishonen
Deadcoil
Dregz
Gabriel Santo
Jennifer Rice
Nazo Baluda
Sunny Jim
Akhlut
Dai Yokohama
Empathy
Jonathan Banks
Sabine Roth
William Brannon
Bizarro Batman
Bizarro Brainiac
Cunningham
Ken Thurston
Macro
Major Victory IV
Manhunter Lud
Micro
Mircea
Trey Thompson
Badlands
Bottom Feeder
Fireball II
Fright Knight
Jon Standing Bear
Monsoon II
Mug
Propaganda
Pulsar
Redback Spider
Slipknot II
Spin Doctor I
Ace of Spades V
Aftermath
All-Beard
Charliehorse
Crazyface
Dino-Mite II
Dreamcatcher
Eamon Garcia
Erich Thonius
Fishmonger
Harvest I
